team_abbr,role,coach_name,raw_title,verification_status,notes
BUF,head_coach,Joe Brady,Head coach,verified,parsed from Wikipedia template 2026-07-24
BUF,senior_assistant,John Fox,Senior assistant,verified,parsed from Wikipedia template 2026-07-24
BUF,offensive_coordinator,Pete Carmichael,Offensive coordinator,verified,parsed from Wikipedia template 2026-07-24
BUF,defensive_coordinator,Jim Leonhard,Defensive coordinator,verified,parsed from Wikipedia template 2026-07-24
BUF,quarterbacks_coach,Bo Hardegree,Quarterbacks,verified,parsed from Wikipedia template 2026-07-24
BUF,running_backs_coach,Kelly Skipper,Running backs,verified,parsed from Wikipedia template 2026-07-24
BUF,wide_receivers_coach,Drew Terrell,Wide receivers,verified,parsed from Wikipedia template 2026-07-24
BUF,offensive_line_coach,Pat Meyer,Offensive line,verified,parsed from Wikipedia template 2026-07-24
MIA,head_coach,Jeff Hafley,Head Coach,verified,parsed from Wikipedia template 2026-07-24
MIA,senior_assistant,,,pending,not listed on source page 2026-07-24
MIA,offensive_coordinator,Bobby Slowik,Offensive Coordinator,verified,parsed from Wikipedia template 2026-07-24
MIA,defensive_coordinator,Sean Duggan,Defensive Coordinator,verified,parsed from Wikipedia template 2026-07-24
MIA,quarterbacks_coach,Bush Hamdan,Quarterbacks,verified,parsed from Wikipedia template 2026-07-24
MIA,running_backs_coach,Ladell Betts,Running Backs,verified,parsed from Wikipedia template 2026-07-24
MIA,wide_receivers_coach,Tyke Tolbert,Wide Receivers,verified,parsed from Wikipedia template 2026-07-24
MIA,offensive_line_coach,Zach Yenser,Offensive Line,verified,parsed from Wikipedia template 2026-07-24
NE,head_coach,Mike Vrabel,Head coach,verified,parsed from Wikipedia template 2026-07-24
NE,senior_assistant,Terrell Williams,Assistant head coach,verified,parsed from Wikipedia template 2026-07-24
NE,offensive_coordinator,Josh McDaniels,Offensive coordinator,verified,parsed from Wikipedia template 2026-07-24
NE,defensive_coordinator,Zak Kuhr,Defensive coordinator,verified,parsed from Wikipedia template 2026-07-24
NE,quarterbacks_coach,Ashton Grant,Quarterbacks,verified,parsed from Wikipedia template 2026-07-24
NE,running_backs_coach,Tony Dews,Running backs,verified,parsed from Wikipedia template 2026-07-24
NE,wide_receivers_coach,Todd Downing,Wide receivers,verified,parsed from Wikipedia template 2026-07-24
NE,offensive_line_coach,Doug Marrone,Offensive line,verified,parsed from Wikipedia template 2026-07-24
NYJ,head_coach,Aaron Glenn,Head coach,verified,parsed from Wikipedia template 2026-07-24
NYJ,senior_assistant,,,pending,not listed on source page 2026-07-24
NYJ,offensive_coordinator,Frank Reich,Offensive coordinator,verified,parsed from Wikipedia template 2026-07-24
